"X1119HILICpos"	"X1159HILICneg"	"X1192HILICpos"	"X1212HILICpos"	"X1290HILICpos"	"X1316HILICpos"	"X1384HILICpos"	"X1402HILICpos"	"X1455HILICpos"	"X1464HILICpos"	"X1465HILICneg"	"X1479HILICpos"	"X1531HILICpos"	"X1574HILICneg"	"X1579HILICpos"	"X1865HILICneg"	"X1922HILICpos"	"X1929HILICpos"	"X1951HILICpos"	"X1977HILICpos"	"X2037HILICpos"	"X2242HILICpos"	"X2262HILICneg"	"X2324HILICpos"	"X2410HILICneg"	"X2692HILICpos"	"X2727HILICpos"	"X2767HILICpos"	"X2833HILICpos"	"X2860HILICpos"	"X2863HILICpos"	"X2913HILICneg"	"X2980HILICpos"	"X2981HILICneg"	"X3104HILICpos"	"X3136HILICpos"	"X3181HILICpos"	"X3328HILICpos"	"X3395HILICpos"	"X3398HILICpos"	"X3467HILICpos"	"X3626HILICpos"	"X3724HILICpos"	"X392HILICpos"	"X4159HILICpos"	"X4187HILICpos"	"X4244HILICpos"	"X4716HILICpos"	"X539HILICpos"	"X5583HILICpos"	"X5695HILICpos"	"X5832HILICpos"	"X5869HILICpos"	"X633HILICpos"	"X734HILICpos"	"X750HILICpos"	"X7518HILICpos"	"X7929HILICpos"	"X807HILICpos"	"X829HILICpos"	"X8542HILICpos"	"X8653HILICpos"	"X8669HILICpos"	"X875HILICpos"	"X8851HILICpos"	"X915HILICneg"	"X948HILICpos"	"X10113PFPPneg"	"X10145PFPPneg"	"X1147PFPPneg"	"X1224PFPPpos"	"X12254PFPPneg"	"X14101PFPPneg"	"X14174PFPPneg"	"X14504PFPPneg"	"X15991PFPPneg"	"X16373PFPPneg"	"X17341PFPPneg"	"X18124PFPPneg"	"X18304PFPPneg"	"X18929PFPPneg"	"X19175PFPPneg"	"X2045PFPPpos"	"X2177PFPPpos"	"X2238PFPPpos"	"X2242PFPPpos"	"X2261PFPPpos"	"X2323PFPPpos"	"X2377PFPPpos"	"X2496PFPPneg"	"X2504PFPPneg"	"X2657PFPPpos"	"X2929PFPPpos"	"X2981PFPPpos"	"X3113PFPPpos"	"X3178PFPPneg"	"X3536PFPPpos"	"X3582PFPPneg"	"X3658PFPPpos"	"X3703PFPPpos"	"X3794PFPPpos"	"X3890PFPPpos"	"X3953PFPPpos"	"X4065PFPPpos"	"X4101PFPPpos"	"X4849PFPPpos"	"X4909PFPPpos"	"X5045PFPPneg"	"X5245PFPPneg"	"X5752PFPPneg"	"X6031PFPPpos"	"X6097PFPPpos"	"X6162PFPPpos"	"X6208PFPPpos"	"X6241PFPPneg"	"X7968PFPPneg"	"X797PFPPpos"	"X8427PFPPneg"
"2"	6.590359575	4.725077073	7.820471616	7.154996689	10.0980951	8.069198397	9.839837394	9.620074346	8.224493731	8.676224701	6.198860498	5.890074512	6.893619756	7.801456568	8.51988112	6.64264446	7.202182814	7.430979779	5.609194941	8.928627364	8.115646691	6.424937642	9.305028188	7.138460066	7.77891088	8.070935781	9.106700538	5.581148373	7.91548652	6.110735947	8.389192518	6.150658895	5.570267688	5.850188847	6.516504853	8.909040917	6.00705414	9.330016372	5.902534438	6.73422504	5.821522942	5.998527081	5.422891849	8.944344335	9.622744371	7.278516834	7.228986501	6.539167036	5.807161398	6.99900083	6.65327511	7.265134571	7.16689393	7.961470414	5.935439436	7.360484104	5.193196518	7.673228735	8.597096373	5.314470307	5.69051107	5.808140165	6.169386259	9.991139723	8.584126569	7.159812607	6.559899236	5.50183414	5.793457033	7.26101214	7.507042743	6.864237837	5.902774599	4.972037833	5.581620627	5.099310583	5.303796329	5.056132562	4.808014506	4.748615023	6.136957169	5.757974782	6.138589324	7.561536867	7.809614829	9.151393761	6.72521586	5.240517997	7.255834789	6.171829904	5.312186689	6.263859254	6.775656337	5.557262666	6.224490085	5.60843287	9.54314146	6.40029414	6.181485239	6.241525959	4.862319691	5.292551071	0	9.213040791	5.12213646	9.390632913	7.757787399	6.439220917	5.257134045	7.281176194	5.737599481	5.980588531	7.666191758	6.258845712	5.544382373	5.618691839	8.607626341	5.982704308
"6"	6.563678786	6.674484096	7.825728324	6.586731617	9.449312332	8.03990536	9.88196234	9.584712558	7.984014831	8.777649724	6.177417008	6.587136629	7.18926925	7.907914094	7.887779836	6.846497323	8.4599806	6.952457235	5.584803398	8.832459653	8.843722827	6.112145298	9.195880499	6.517730022	7.693673824	7.428863182	9.240085516	5.92926437	8.40542466	6.742636535	9.177626004	7.134004681	5.882331909	6.843429153	6.976058718	9.069232762	5.562483882	8.488055606	6.231310419	6.432852501	6.421396683	6.68105396	5.741225114	9.186235905	8.643256246	7.314583126	7.556676036	6.55303373	5.870134626	7.014156735	6.723723395	8.637849589	6.662731849	8.114111124	6.123087647	7.907423658	5.714853888	7.774421843	8.589326308	5.293989057	6.274926262	6.008165049	5.847631175	10.29465262	8.47224472	7.549161556	6.277077513	5.542746959	6.070933219	7.435030282	7.39273272	6.934087216	6.088538561	5.353609269	6.303814139	6.368792485	5.447552429	4.534794905	5.37885006	4.884326945	6.375032804	6.194247716	5.570442359	8.087591441	7.99228512	9.095221843	6.679560597	5.582976174	6.977500354	6.244875804	4.813182179	5.995324129	6.35258182	4.872959697	6.085687449	5.533463348	9.548231998	6.196671259	6.377562999	6.085635437	5.464151705	5.555931392	0	9.18110412	5.978745075	9.318022696	7.842674595	5.792699637	0	7.153466977	5.692371917	4.568656676	7.960274422	6.049043204	5.544531451	4.849650208	8.853442073	5.880909528
"7"	7.16669696	6.215831122	8.212900038	6.506645293	9.533728955	8.244795119	9.447845572	9.654196517	7.698577656	8.798843895	5.230104821	6.539625121	7.042745275	7.206969835	9.040215239	6.616839042	8.16357021	7.157305935	5.721035199	8.992861302	8.653644019	6.782514441	8.962797786	7.178372683	7.471118504	7.747282584	9.463275618	5.862860086	8.511020859	7.475721721	8.833426091	6.483696276	5.673394243	6.28939103	7.162203594	9.002179489	5.858366114	8.481747163	6.179930527	6.751251398	6.370460952	6.291058856	5.717929068	9.066071564	9.295928999	7.774313674	7.627539697	6.674985525	6.317004272	7.433914804	6.462577293	8.229517276	6.939375213	8.083706585	5.315015589	7.043452075	5.721535417	7.631321233	8.700886199	6.085792478	5.587824813	6.363291411	5.815002952	9.840570241	8.520346808	7.421603823	6.394491873	5.907842617	6.256084742	7.567333734	7.51544111	5.936565582	5.2658095	3.349606923	4.787582356	5.268939613	5.290060022	5.471813749	4.726529411	4.427165447	6.336774442	6.070560292	5.885501026	7.904508878	7.550870677	9.216737595	6.719922327	5.821962225	6.792504227	6.011826106	5.008300771	5.35037044	6.463803647	5.151565529	5.941323624	5.58910336	9.517786203	6.114940277	6.436174331	6.798489412	5.172670824	5.495265011	5.644296989	9.203911166	6.537191341	9.41472515	7.86515483	5.853323053	5.277190202	7.305949286	5.753703775	5.658390449	7.452508542	6.324074834	5.386614648	4.861513357	8.72686329	5.994158281
"13"	5.654025458	7.035775397	8.082435883	7.265395094	7.759598617	7.813219908	9.513844134	9.733457627	7.864845525	8.684609969	5.971155015	6.114569	6.841977106	7.6246613	8.880571745	7.034163239	8.093696212	7.151562771	5.563638246	8.55549155	8.704191133	6.93957533	9.029332599	7.092916542	7.579116369	7.827930639	9.504257942	6.120229034	7.520883564	6.959726439	9.345075033	6.97690848	5.908801763	6.608084966	6.540690166	8.97505321	5.098149059	8.563544971	6.35911317	6.001861053	6.284512267	6.287346283	5.547826672	9.129257737	8.912514232	7.763890078	7.547496685	6.931993606	6.508887657	8.067379199	6.709912842	7.927435474	5.488090415	7.867687761	6.774838079	7.668877403	5.710133657	7.813225528	8.555469482	5.570577991	5.416238651	5.115408252	6.228873272	9.88532471	8.326154325	7.394120554	6.281179178	5.389619932	5.261528802	7.583508004	7.551391177	7.076155334	6.374807044	5.440430365	6.576586665	5.997293392	5.64636651	4.286599957	5.398373314	5.126617773	6.349250763	5.889302826	5.924028364	8.310875984	7.564759712	9.255492548	6.756416409	6.132219479	7.037897555	6.615794703	5.365392993	6.431737399	6.848424001	5.463345834	6.229624689	5.610611374	9.582621546	6.28539035	6.73907139	6.956050517	5.556330356	4.934721945	0	9.156986242	5.350251013	9.378274289	8.069951132	6.141664955	5.298518458	7.44687113	6.082564107	5.484804916	7.755702085	0	5.431179062	4.51605777	8.846802479	5.972306386
"16"	6.524228877	5.887890145	7.74843669	7.073920052	7.332144273	8.35248238	9.70516688	8.806050753	8.000080932	8.824521108	6.34594284	6.745251983	7.383657191	7.782618248	8.471493339	6.90619213	8.414491059	6.928963737	5.666167991	9.043142639	8.879506262	6.798436434	9.203238992	6.454400504	7.741324672	7.926676613	9.109144178	5.609049802	7.397181653	7.169693771	9.319347331	6.321047284	4.886822198	6.655140349	6.634904159	8.95222266	5.619108061	8.625471866	7.519158647	6.615734174	6.515047297	7.079730693	6.201691602	9.05709177	9.242776381	7.29449392	7.251161903	7.122951575	6.361339664	7.345160679	6.716507876	8.931117335	6.605521197	7.89181403	5.506171767	7.439754505	5.502450587	7.676750748	8.52180766	6.026326794	5.367736333	5.67724859	5.917196215	9.899650661	8.434944474	7.49288186	5.739336799	5.556644179	5.502685556	7.289756031	7.476764019	7.417681787	6.54896174	5.682185198	6.111861024	5.752555534	5.302035455	5.858412945	5.566329461	4.85663143	6.352480133	6.127300065	5.915683977	7.99820148	7.918725214	9.181245656	6.752228737	6.145476846	7.057072459	6.076278146	4.574070039	5.560889642	6.475869858	5.753730186	6.213853257	5.671525352	9.553419405	5.9985999	6.236805843	6.318725358	4.849511847	4.616070989	0	9.171170311	6.502790207	9.344223513	7.932846662	5.531014585	5.542787286	7.164412781	5.924523193	5.745478373	7.88223522	5.984136507	5.472519633	4.805494726	8.695564522	5.931438013
"23"	6.300879428	6.130238038	7.830764478	6.641966125	0	8.22879076	9.732164054	9.618905723	7.726390875	8.772782696	6.014715044	6.320284101	6.953118833	7.862512083	8.533361971	7.153720967	7.883004614	7.085519952	5.864659292	8.964545286	8.688806598	6.327054595	9.344532668	7.066902296	7.868007555	7.558052932	9.194218445	5.81035806	7.628558621	6.909605891	9.159301601	6.949284382	5.915859538	6.711823255	6.349997529	8.949768904	7.589529351	9.433360957	6.526340059	6.409520905	6.1691985	7.198175531	6.265283293	8.960173099	8.636055833	7.200214685	6.879913194	7.232120438	6.42175381	7.760972218	6.471997566	8.836804334	6.876019489	8.023868141	6.563821098	7.455435836	5.706999848	7.655660465	8.775495801	5.426449857	5.539687375	5.134076279	6.044939526	7.879133582	8.435534201	7.867336009	5.983307924	5.631926437	6.185951823	7.468019971	7.461772755	6.603596612	6.118196656	5.21668875	5.433920566	6.573173964	5.043252705	5.408108386	5.089478542	5.003288508	6.415444567	6.16343407	5.734200557	8.222274793	7.450798741	9.127350542	6.822672149	6.092229602	6.883843974	6.156070363	4.969598317	5.756224717	6.416349747	5.593620305	6.218494601	5.634224828	9.527248115	5.988740743	6.688402525	5.953344884	5.494621777	5.679522252	0	9.15797322	6.635410858	9.446835153	7.733629506	5.925849199	5.315663765	7.400760098	5.690676574	5.083641103	7.188286291	6.879131497	5.389610065	5.011399594	8.726300023	5.998376349
"27"	6.646791173	5.930816521	7.540246687	6.445287707	7.911526324	7.98990149	9.395952289	9.092898762	7.897509983	8.762364811	5.868010867	6.189227302	6.825311842	7.564724665	7.713937598	7.097853229	7.959382519	7.015139274	5.745850594	8.750636275	8.66966706	6.475451659	8.743266437	7.155881406	7.155315846	8.153923529	9.436466685	5.639219214	7.482619214	7.167703482	8.632461609	7.023614382	5.462610019	6.877215158	6.72491417	8.971653804	5.587190768	9.130552848	6.57910155	5.725725939	6.065645256	6.639070318	6.314989802	9.174778343	8.325403517	7.469397822	7.685712294	7.122268035	6.461509472	7.393157506	6.623937376	8.502765642	7.63625646	8.053139635	5.391986929	7.55455658	4.840089495	7.623789361	8.727078802	5.359989369	5.547237896	4.486728925	5.845378249	10.33070886	8.153587488	7.577590053	5.972568794	5.651585917	5.363791594	7.342718055	7.054080036	7.039412665	6.434713246	5.611779405	6.860986498	5.86359459	5.999460906	5.769876459	5.590684441	4.846817979	6.380719878	5.750381035	6.031208514	7.74305604	7.499803402	9.089437863	6.781121618	5.482445016	6.953902515	6.290886048	5.011484471	5.82221789	7.462549024	5.172554967	6.148651702	5.480898423	9.482270952	6.07755252	6.359758791	6.070577043	5.159718839	5.677763684	0	9.22932323	6.299314085	9.250757621	7.62525752	6.372033334	4.992539434	7.150263607	5.378583552	5.03897164	7.874158153	6.594086906	5.366587001	4.903584639	8.781882917	5.837210458
"30"	6.516688461	6.439215511	8.073476616	6.356866734	7.564244798	8.164797212	9.208146178	9.722422546	7.890502773	8.843114166	5.759381253	6.671090072	7.299267262	7.641322368	8.45337075	6.88948565	8.328360032	7.077594069	5.831198365	8.605574502	8.208962113	6.015425322	9.083385655	7.280191198	7.506624146	7.586322559	9.29895291	5.825752374	8.874468175	7.547973966	9.233290917	6.542928376	5.369050262	6.339057959	7.378727602	9.181981034	5.598054936	9.011613106	6.70847303	7.067923567	6.255231433	6.524046354	5.61311287	9.092527917	8.638068879	7.685075836	7.634993372	7.237596807	6.494460785	7.641349478	6.744293284	8.724547867	7.521372676	8.133444428	5.499153673	7.018589292	5.694351608	7.751797332	8.790821264	5.701575165	5.954082963	4.925114824	5.614254465	10.48824371	8.334113765	7.4354886	6.225220787	5.639380308	5.455554311	7.496938554	7.567103966	6.977832986	6.540274253	5.733395191	5.975295942	5.462298455	5.281947198	5.189934634	5.501835304	5.122209282	6.275845987	5.813060796	5.679750597	7.864750222	7.531513912	9.366451092	6.99873956	5.232429108	6.7210041	6.358723753	4.910826797	6.29555787	7.386623733	4.828081336	6.122759666	5.656779468	9.736751586	6.326976861	6.34601133	5.654057927	5.022333546	4.924027712	0	9.198620494	6.205047942	9.450726133	7.829323643	5.87963795	4.539546988	7.256119255	5.625925033	0	7.790942313	6.71344891	5.577316391	4.907020267	8.795711958	6.056321751
"38"	5.837977905	5.451236383	8.091736949	6.397073193	7.269774677	8.179988498	9.579621547	7.882745751	7.886035958	8.710641136	5.662493205	6.41083819	7.141419426	7.724256914	8.324685554	6.866003999	8.011200406	7.193705517	5.571888661	8.629070037	8.924881118	6.642606295	9.030944719	7.14946115	7.493443869	7.831329931	9.359246016	5.68406612	8.096713325	6.998577288	9.068969544	6.401237645	5.852532448	5.624882803	6.568810247	8.948169341	8.539518933	8.397177717	7.009117326	6.792485536	6.675186624	6.57051678	5.432434583	8.937485338	8.895490512	7.3654349	7.621976224	7.104495564	6.436956093	6.704969446	6.523655226	8.115272807	6.661854631	7.929283314	5.938849098	7.217254582	5.678089026	6.614850998	8.608421747	6.140614367	5.927798761	5.00718173	5.243402889	10.38547597	7.355543867	7.549674199	6.734930353	5.341359534	5.455700709	7.295346185	7.34483229	7.139764019	6.459447027	5.573070007	6.313833589	5.093992894	5.511116049	5.472696245	5.617972062	4.35015179	6.302623731	5.957359258	5.612471958	7.883556905	7.818569005	9.089733588	6.64080684	5.738096091	6.886484282	6.219431331	4.971570216	6.676477806	6.909964279	5.104718124	6.066269667	5.623532917	9.359374997	6.3237889	6.530290892	6.854454912	5.567332336	4.765559273	7.852626254	9.083977342	6.376589273	9.286828868	7.74949189	5.84482412	4.85289137	7.207136179	5.754616883	4.75138417	7.415901158	5.560712285	5.346641934	4.751034807	8.721825963	5.882968882
"42"	6.443327698	5.758604084	8.136088684	6.989310209	7.693290772	8.11449879	10.07400741	9.555971613	7.595328972	8.816365427	5.958613198	6.143100626	6.936961396	7.935763188	7.491572516	6.832183024	7.86668707	6.997177339	5.79368628	9.012356186	8.50783803	6.568180261	9.482614078	7.104412406	8.107009595	8.338209794	9.000515448	5.672886473	7.074828705	6.638330326	8.713494931	7.036269852	5.393984527	6.601234593	6.865310979	9.079721804	5.033001459	9.26899772	6.087713955	6.743744351	6.401849828	6.189766349	6.416299415	9.079182024	9.096065521	7.589047375	7.178507405	7.19526285	6.36403423	7.644677102	6.650493989	8.882745627	6.934124172	8.112623544	5.190437231	7.572913264	5.880755582	7.709330737	8.670330539	6.069210031	5.836582059	5.27660382	5.791681383	10.11349364	8.143163325	7.513823756	5.645363405	5.731818609	5.723580787	7.655551329	7.315410661	7.349350345	6.280075822	5.420563321	5.57587832	6.314208176	5.036832943	4.40493423	5.059094882	5.480037067	6.178879566	6.121534259	5.546678271	7.874912433	8.115616747	9.046321467	6.752729259	5.851218565	7.070840199	6.350396015	5.080860088	6.219689255	7.392977637	5.790981398	6.346284037	5.457849291	9.495817514	5.666615966	6.389151024	7.181205678	5.322714923	5.766026119	0	9.44753535	5.872494418	9.34280994	7.792519119	6.043906528	3.547036979	7.093891315	5.453568098	5.936376756	7.851841203	6.291924554	5.236556141	4.367892006	8.691672739	5.857429162
"44"	6.285159379	6.015833263	8.016115377	6.921153016	7.227161133	8.335018221	9.882869674	9.506213043	7.503534272	8.884096872	6.127742573	6.345269262	7.140192712	8.10164032	8.450009729	6.677241039	6.656148197	6.849008915	5.695462659	9.140398259	8.590308843	6.216293179	9.45730154	7.300333105	8.064626749	8.117070456	9.565013866	5.675130901	7.20113547	6.782850663	8.621709006	6.326311379	5.979983939	4.973636452	6.353724351	8.990949303	5.542927301	9.261887283	6.736784961	6.026171987	6.000504345	6.348742023	5.883276686	9.120821846	8.822749549	7.585548968	7.262438627	6.617772373	6.172902794	6.995023524	6.836620114	8.81577374	7.727243887	7.991739437	6.162558572	7.189692119	5.99378398	7.797037581	8.799215397	5.677054727	6.280271751	5.600443839	5.943625172	9.723672995	8.31860567	7.290666069	6.467963577	5.403111547	5.595944823	7.55356885	7.289679925	6.96632315	6.204330527	5.407258512	5.36828034	5.028464279	5.037246629	3.512376308	4.918252156	4.730417963	6.533852557	6.004950794	5.92572951	7.836892076	8.002116137	9.058659824	6.807096339	5.521646909	7.102647372	6.239948702	4.791352431	5.880013438	7.167033914	5.203352495	6.361606446	5.715110521	9.586111903	6.067933499	6.346606128	6.306586002	5.580504483	5.967827531	0	9.302736129	6.185331844	9.404775486	7.844234811	6.044821988	4.794826986	7.336563495	5.814509083	5.398296631	7.764220068	6.836080058	5.467818692	4.978785538	8.786625123	5.97544705
"57"	6.362914539	6.322400395	8.013260184	7.020550306	7.287967202	8.253085354	9.898334174	9.519684748	7.951396826	8.740611781	5.814700867	6.294894455	7.318536284	7.804709573	8.487254288	6.647634979	8.111064682	6.936767047	5.669807462	8.873140542	8.522290767	6.202714454	9.19407159	7.373059984	7.852976204	7.985358961	9.451670776	5.991839435	7.077264421	6.119678797	8.735886768	7.026959659	5.942235801	6.712308227	6.25407424	8.923690234	5.427818573	9.172257579	6.010868193	6.190247153	6.084467157	6.763338073	5.817567155	9.082267021	8.890544623	7.576505184	7.645852105	7.089372592	6.250770249	7.590001759	6.489598068	8.704336583	6.571140342	7.741439623	6.908298453	7.650173951	6.000416601	7.876508453	8.671484968	5.780420152	5.874145564	5.403468398	6.071088902	10.18609159	8.394135831	7.571512723	6.325668687	5.767832555	5.554753585	7.407593114	7.310613696	7.214965003	6.439301568	5.669734047	6.627144275	6.57840432	5.691155968	5.261069289	5.464439004	5.214833325	6.269832042	5.90511448	6.125156224	7.761687825	8.205864038	9.100739502	6.650408516	5.984481834	6.801872387	6.090957125	4.866954606	6.385527756	7.076457892	5.158459607	6.284940854	5.673971034	9.530883197	6.20470192	6.223123848	5.795278762	5.437594047	5.271121386	0	9.215609564	6.331276683	9.422100967	7.912969579	6.277653765	5.737717698	7.321717693	5.742507412	0	7.688299952	6.031616626	5.486325172	4.80067275	8.754807169	6.022137911
"58"	5.951358315	6.381524977	7.969794751	7.121370761	7.710888835	8.082755047	10.02552026	9.780769117	8.115258491	8.8090197	6.213320771	5.996894285	6.76537227	7.813505031	7.106396929	6.331103625	7.958885095	6.828864864	5.755411381	9.00136473	8.628513434	7.035098753	9.180896662	7.099284429	7.828383394	7.948991179	9.561100991	5.630881105	7.928974175	6.587885825	8.651352311	6.88940234	5.746687958	6.333841767	6.476158854	8.997567324	8.146600167	9.004925491	5.83890115	6.07373276	6.371736359	6.635943252	6.260655427	9.04805644	8.378946291	7.57419891	7.434731986	6.504206914	6.234299338	7.189810772	6.755916507	8.595537947	6.781960478	7.987045234	6.314592451	6.748315271	5.924856025	7.374022317	8.805992494	0	4.842132688	5.809394942	6.693299207	10.39588585	8.720735707	7.495713148	6.475142696	5.78637665	5.852191503	7.570980859	7.815870893	7.364833628	6.233661225	5.360719697	5.862316885	5.886962496	5.812353072	3.630689366	5.128222763	5.511707909	6.473159138	5.847300026	5.969394438	7.84772724	8.151305228	9.269399783	6.790759023	5.983978857	6.882704722	6.241793714	4.89243768	6.588445844	6.836770144	6.052440171	6.117787951	5.603872564	9.596188991	5.15618878	6.279459323	6.74728796	5.374225922	6.289382106	7.500627729	9.237366049	6.093798078	9.4301283	7.955832435	6.050079832	4.224431536	7.292570575	5.883780593	6.683077071	7.669430834	5.912878314	5.455116623	4.57556529	8.726512058	5.996708375
